State,District,Year,Hazard Score,Exposure Score,Vulnerability Score,Risk Score,Risk Category,Missing_Tiers
Andaman And Nicobar Islands,North And Middle Andaman,2020,,0.657980111,0.212338374,0.435159243,Medium Risk,Hazard
Andaman And Nicobar Islands,North And Middle Andaman,2021,,0.657980111,0.202528485,0.430254298,Medium Risk,Hazard
Andaman And Nicobar Islands,South Andaman,2020,,0.749354196,0.257872839,0.503613518,Medium Risk,Hazard
Andaman And Nicobar Islands,South Andaman,2021,,0.749354196,0.288170091,0.518762144,Medium Risk,Hazard
Andhra Pradesh,Anantapur,2020,0.536560886,0.531111501,0.634847024,0.56750647,Medium Risk,None
Andhra Pradesh,Anantapur,2021,0.753600823,0.531111501,0.63507826,0.639930195,High Risk,None
Andhra Pradesh,Chittoor,2020,0.664884732,0.567283638,0.597339157,0.609835842,Medium Risk,None
Andhra Pradesh,Chittoor,2021,0.75559912,0.567283638,0.58206652,0.634983093,High Risk,None
Andhra Pradesh,East Godavari,2020,0.437327057,0.639956368,0.635857089,0.571046838,Medium Risk,None
Andhra Pradesh,East Godavari,2021,0.367985948,0.639956368,0.646842976,0.551595097,Medium Risk,None
Andhra Pradesh,Guntur,2020,0.440357046,0.559974284,0.646776289,0.549035873,Medium Risk,None
Andhra Pradesh,Guntur,2021,0.279968549,0.559974284,0.630331135,0.490091323,Medium Risk,None
Andhra Pradesh,Krishna,2020,0.572393806,0.618455068,0.595584627,0.595477834,Medium Risk,None
Andhra Pradesh,Krishna,2021,0.374780708,0.618455068,0.57045713,0.521230969,Medium Risk,None
Andhra Pradesh,Kurnool,2020,0.610157037,0.49506745,0.667991952,0.591072146,Medium Risk,None
Andhra Pradesh,Kurnool,2021,0.399342959,0.49506745,0.637720097,0.510710169,Medium Risk,None
Andhra Pradesh,Nellore,2020,0.612416419,,0.62330816,0.61786229,Medium Risk,Exposure
Andhra Pradesh,Nellore,2021,0.676129418,,0.59729777,0.636713594,High Risk,Exposure
Andhra Pradesh,Prakasam,2020,0.570012609,0.573561837,0.622566536,0.588713661,Medium Risk,None
Andhra Pradesh,Prakasam,2021,0.439176982,0.573561837,0.617285337,0.543341385,Medium Risk,None
Andhra Pradesh,Srikakulam,2020,0.334662676,0.609862832,0.535164907,0.493230138,Medium Risk,None
Andhra Pradesh,Srikakulam,2021,0.528741729,0.609862832,0.546459118,0.561687893,Medium Risk,None
Andhra Pradesh,Visakhapatnam,2020,0.331113061,0.554172997,0.582430588,0.489238882,Medium Risk,None
